Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Adrian Dexter,,European Film College | The Animation Workshop,,,,,male,Animafest (biografia do autor),médio,A fonte também menciona participação em Animation sans Frontieres; mantive apenas instituições claramente nomeadas. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_01; place_of_birth_lote_01; place_of_birth_lote_09,,
Alejandro Casales,Mexico,"Escuela Nacional de Música, Universidad Nacional Autónoma de México | Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""",,"Mexico City, Mexico",,Axochiapan,male,FILE Festival,médio,A biografia do FILE explicita estudos na Escola Nacional de Música da UNAM e bacharelado em Artes Plásticas com especialidade em Multimídia em La Esmeralda.,16; place_of_birth_lote_02,site oficial do artista,alto
Amy Karle,United States,Alfred University | Cornell University,,"New York, USA",,,female,American Arts Incubator,médio,"Fonte institucional/organizacional informa que estudou em Alfred University e Cornell University, com formação em Art and Design e Philosophy. | place of birth localizado apenas como New York; sem cidade explicitada nas fontes consultadas.",19; place_of_birth_lote_02,Wikipedia / AMEI Magazine,médio
,,California College of the Arts,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
,,Cornell University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Andreas Lutz,Germany,Offenburg University of Applied Sciences,,"Freiburg im Breisgau, Germany",,,male,CURRENTS New Media,médio,Biografia indica graduação em Media and Information Science.,6; place_of_birth_lote_02,CV oficial / Wikipedia,alto
Beat Suter,Switzerland,University of Zurich,,"Baden, Switzerland",,,male,Zurich University of the Arts (ZHdK),alto,A fonte explicita o doutorado na University of Zurich.,6; place_of_birth_lote_01,Kunstradio / Literaturhaus Graz,alto
Bego M Santiago,Spain,Technical University of Valencia,,"Santiago de Compostela, Spain",,,female,,,,place_of_birth_lote_02,Wikipedia (gl) / FIC KAKV,médio
Ben Chang,United States,Walsh School of Foreign Service,,,,,male,,,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,place_of_birth_lote_01; place_of_birth_lote_09,,
,,Georgetown University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Bjørn Svin,Kingdom of Denmark,,,"Ringsted, Denmark",,,male,,,Fonte consultada indica artista autodidata; sem instituição formal identificada. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_01,Discogs / Wikipedia (fontes convergentes),médio
Bo Mathorne,Kingdom of Denmark,The Drawing Academy | The Animation Workshop,,Denmark,,,male,FILE Festival (biografia do artista),médio,,2; place_of_birth_lote_01,FILE Festival (biografia do artista),alto
Boris Labbé,France,École Supérieure d’Art et de Céramique de Tarbes | EMCA École des Métiers du Cinéma d’Animation,,"Lannemezan, France",,,male,Cinemambiente | Expanded Animation,médio,Fontes convergentes indicam formação em Tarbes e continuidade dos estudos na EMCA em Angoulême.,10; place_of_birth_lote_01,Semaine de la Critique / Media Art Festival,alto
