Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
3NÓS3,,,,,,,
Abelardo da Hora,Brazil,,,São Lourenço da Mata,,,male
Abelardo Zaluar,,,,,,,
Avraham Naton,Israel,,,Reni,Kiryat Shaul Cemetery,Givatayim,male
Abraham Palatnik,Brazil,Montefiori Technical School,Jewish people,Natal,,Rio de Janeiro,male
Achille Funi,Italy,Brera Academy,,Ferrara,,Appiano Gentile,male
,Kingdom of Italy,,,,,,
Ademar Manarini,Brazil,,,Campinas,,São Paulo,male
Ademar Shimabukuro,,,,,,,
Adir Botelho,Brazil,,,Rio de Janeiro,,,male
Adir Sodré,,,,,,,male
Adja Yunkers,United States,,,Riga,,New York City,male
,Sweden,,,,,,
Adolfo Mexiac,Mexico,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",,Cuto de la Esperanza,,Cuernavaca,male
Adolpho Hollanda,,,,,,,
Adriano Spatola,Italy,,,Matulji,,Sant'Ilario d'Enza,male
Giulia Niccolai,Italy,,,Milan,,Milan,female
Afro Basaldella,Italy,Liceo Artistico Di Porta Romana E S.F.,,Udine,,Zurich,male
,Italy,,,,,,
Agenore Fabbri,Italy,"Academy of Fine Arts, Florence",,Pistoia,,Savona,male
Aharon Kahana,Israel,,,Stuttgart,Kiryat Shaul Cemetery,Paris,male
Ahmes de Paula Machado,,,,,,,
Ahron Giladi,,,,,,,
Aieto Manetti Neto,,,,,,,
Ailema Bianchetti,,,,,,,
Aimée,,,,,,,
Aki Kuroda,Japan,Doshisha University,,Kyoto,,,male
Alain Snyers,France,École nationale supérieure des arts décoratifs,,Zaire,,,male
,Democratic Republic of the Congo,,,,,,
Alan Davie,United Kingdom,Edinburgh College of Art,,Grangemouth,,Hertford,male
,United Kingdom of Great Britain and Ireland,,,,,,
Alastair Milne Michie,France,,,,,,
,,,,,,,male
Albano Afonso,Brazil,,,São Paulo,,,male
Albert Gleizes,France,,,Paris,,Saint-Rémy-de-Provence,male
Albert Hien,Germany,,,Munich,,,male
Leonilson,Brazil,Fundação Armando Alvares Penteado,,Fortaleza,,São Paulo,male
Alberto Bitar,,,,,,,
Alberto da Veiga Guignard,Brazil,"Academy of Fine Arts, Munich",,Nova Friburgo,Church of Saint Francis of Assisi (Ouro Preto),Belo Horizonte,male
Alberto Donat,,,,,,,
Alberto Lambach,,,,,,,
Alberto Magnelli,Italy,,,Florence,Longs-Réages cemetery,Meudon,male
Alberto Martins,,,,,,,
Alberto Salietti,Italy,,,Ravenna,,Chiavari,male
Alberto Simon,,,,,,,
Alberto Teixeira,Brazil,,,,,,male
Alcindo Moreira Filho,,,,,,,
Aldemir Martins,Brazil,,,Aurora,,São Paulo,male
Aldir Mendes de Souza,Brazil,,,São Paulo,,São Paulo,male
Aldo Bonadei,Brazil,,,São Paulo,,São Paulo,male
Aldo Severi,Argentina,,,Buenos Aires,,Quilmes,male
Aldo Simoncini,San Marino,,,San Marino,,,male
Alejandro Pérez Cruz,Mexico,,,Ciudad Nezahualcóyotl,,,male
Alejandro Santiago Ramírez,Mexico,,,Teococuilco de Marcos Pérez Municipality,,Oaxaca de Juárez Municipality,male
Aleksander Kobzdej,Poland,Jan Matejko Academy of Fine Arts in Krakow,,Olesko,Powązki Military Cemetery,Warsaw,male
Aleksander Turek,,,,,,,
Alena Kučerová,Czech Republic,,,Prague,,,female
,Czechoslovakia,,,,,,
Ales Villegas,,,,,,,
Alessandro Tagliolini,Italy,,,Rome,,Pietrasanta,male
Alex Flemming,Brazil,,,São Paulo,,,male
Alex Gama,Brazil,,,,,,male
Alex Katz,United States,Cooper Union,,New York City,,,male
,,Skowhegan School of Painting and Sculpture,,,,,
Alex Mlynárčik,Czechoslovakia,,,Žilina,,,male
Alex Vallauri,Brazil,,,Asmara,,São Paulo,male
Alexander,,,,,,,
Alexander Calder,United States,house,,Lawnton,,New York City,male
,,Académie de la Grande Chaumière,,,,,
,,Stevens Institute of Technology,,,,,
Alexander Pilis,Brazil,,,,,,male
Alexandre Bonnier,France,,,Chalon-sur-Saône,,Paris,male
Alexandre Cruz (Sesper),,,,,,,
Alexandre Wollner,Brazil,,,São Paulo,,São Paulo,male
Alexandrina Ghetie,,,,,,,
Alfred Hrdlicka,Austria,Academy of Fine Arts Vienna,,Vienna,Vienna Central Cemetery,Vienna,male
الفريد كوبين,Austria–Hungary,"Academy of Fine Arts, Munich",,Litoměřice,Upper Austria,Wernstein am Inn,male
,Austria,,,,,,
Alfred Leslie,United States,New York University,,New York City,,Brooklyn,male
,,Art Students League of New York,,,,,
,,Pratt Institute,,,,,
,,DeWitt Clinton High School,,,,,
Alfred Manessier,France,Beaux-Arts de Paris,,Saint-Ouen,Saint-Ouen,Orléans,male
,,Amiens Higher School of Art and Design,,,,,
Alfredo Grieco,,,,,,,
Alfredo Mazzeo,,,,,,,male
Alfredo Nicolaievsky,,,,,,,
Alfredo Portillo,Venezuela,,,,,,male
Alfredo Testoni Lauriti,Uruguay,,,Montevideo,,,male
Alfredo Volpi,Brazil,,,Lucca,,São Paulo,male
Alice Brill,Germany,,,Cologne,,Itu,female
,Brazil,,,Germany,,São Paulo,
Aligi Sassu,Italy,,,Milan,,Pollença,male
Allen Fisher,United States,,,,,,male
Almandrade,,,,,,,
Almir Mavignier,Brazil,,,Rio de Janeiro,,Hamburg,male
Aloísio Lucas de Siqueira,,,,,,,
Aloísio Sergio Magalhães,Brazil,,,Recife,,Padua,male
Alton Pickens,United States,,,,,,male
Álvaro Amengual,Uruguay,,,Montevideo,,,male
Álvaro Cármenes,Uruguay,,,,,,male
Alzira Fragoso,,,,,,,
Amador de Carvalho Perez,,,,,,,male
Amália Pasqualina Fernandes Filha,,,,,,,
Amedeo Modigliani,Kingdom of Italy,Accademia delle Arti del Disegno,Jewish people,Livorno,Père Lachaise Cemetery,Hôpital de la Charité,male
,,"Academy of Fine Arts, Florence",,,Grave of Amedeo Modigliani and Jeanne Hébuterne,,
,,Accademia di Belle Arti di Venezia,,,,,
Amelia Etlinger,United States,,,,,,female
Amelia Peláez,Cuba,Académie de la Grande Chaumière,,Yaguajay,,Havana,female
,,Academia Nacional de Bellas Artes San Alejandro,,,,,
Américo Spósito,Uruguay,,,Montevideo,,,male
