Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
A. Bierry,,,,,,,
A. Correa Costa,,,,,,,
A. Tinoco,,,,,,,
A.Guedes,,,,,,,
Abel-Dominique Boyé,France,école des beaux-arts de Bordeaux,,Marmande,,Marmande,male
,,Beaux-Arts de Paris,,,,,
Abelardo Zaluar,,,,,,,
Abraham Brueghel,Spanish Netherlands,,,Antwerp,,Naples,male
Avraham Naton,Israel,,,Reni,Kiryat Shaul Cemetery,Givatayim,male
Abreu,,,,,,,
Achille Funi,Italy,Brera Academy,,Ferrara,,Appiano Gentile,male
,Kingdom of Italy,,,,,,
Ademar Shimabukuro,,,,,,,
Adir Sodré,,,,,,,male
Adolf Methfessel,Switzerland,,,Bern,,Bern,male
Adolfo Matarelli,Kingdom of Italy,,,,monumental cemetery of Milan,Cisano Bergamasco,male
Adolphe Martial-Potémont,France,,,Paris,,Paris,male
Adrien Henri Vital van Emelen,Belgium,,,Leuven,,São Paulo,male
Afro Basaldella,Italy,Liceo Artistico Di Porta Romana E S.F.,,Udine,,Zurich,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
Agostinho José da Mota,Brazil,Academia Imperial de Belas Artes,,Rio de Janeiro,,Rio de Janeiro,male
Agostino Masucci,Papal States,,,Rome,,Rome,male
Agustín Salinas Teruel,Spain,,,Zaragoza,,Rome,male
Ahron Giladi,,,,,,,
Aimée,,,,,,,
Alan Davie,United Kingdom,Edinburgh College of Art,,Grangemouth,,Hertford,male
,United Kingdom of Great Britain and Ireland,,,,,,
Albert Eckhout,Dutch Republic,,,Groningen,,Groningen,male
Albert Gleizes,France,,,Paris,,Saint-Rémy-de-Provence,male
Alberto André Feijó Delpino,,,,,,,
Alberto da Veiga Guignard,Brazil,"Academy of Fine Arts, Munich",,Nova Friburgo,Church of Saint Francis of Assisi (Ouro Preto),Belo Horizonte,male
Alberto Carlos Lima,Portugal,,,Porto,,,male
,Kingdom of Portugal,,,,,,
Alberto Magnelli,Italy,,,Florence,Longs-Réages cemetery,Meudon,male
,Italy,,,,,,
,Kingdom of Italy,,,,,,
Alberto Salietti,Italy,,,Ravenna,,Chiavari,male
,Kingdom of Italy,,,,,,
Alberto Silva,,,,,,,male
Alberto Teixeira,Brazil,,,,,,male
Aldemir Martins,Brazil,,,Aurora,,São Paulo,male
Aldo Beck,Brazil,,,Florianópolis,,Florianópolis,male
Aldo Bonadei,Brazil,,,São Paulo,,São Paulo,male
Aldo João Nunes,Brazil,,,,,,male
Alejandro Cicarelli,Chile,,,Naples,,Santiago,male
,Kingdom of Italy,,,,,,
Aleksander Kobzdej,Poland,Jan Matejko Academy of Fine Arts in Krakow,,Olesko,Powązki Military Cemetery,Warsaw,male
Alessandro Varotari,Republic of Venice,,,Padua,,Venice,male
Alex Flemming,Brazil,,,São Paulo,,,male
Alexandre Cabanel,France,Beaux-Arts de Paris,,Montpellier,cemetery Saint-Lazare (Montpellier),Paris,male
,,French Academy in Rome,,,,,
Alexandre Cruz (Sesper),,,,,,,
Alexandre Mário Parko,,,,,,,male
Alexandre Wollner,Brazil,,,São Paulo,,São Paulo,male
Alexis Marie Lahaye,France,,,Paris,,,male
Alfred Leslie,United States,New York University,,New York City,,Brooklyn,male
,,Art Students League of New York,,,,,
,,Pratt Institute,,,,,
,,DeWitt Clinton High School,,,,,
Alfred Manessier,France,Beaux-Arts de Paris,,Saint-Ouen,Saint-Ouen,Orléans,male
,,Amiens Higher School of Art and Design,,,,,
Alfred Sisley,United Kingdom of Great Britain and Ireland,Beaux-Arts de Paris,,former 4th arrondissement of Paris,Moret-sur-Loing,cemetery of Moret-sur-Loing,male
,France,,,Paris,,Moret-sur-Loing,
Alfredo Andersen,Brazil,,,Kristiansand,,Curitiba,male
,Norway,,,,,,
Alfredo Nicolaievsky,,,,,,,
Alfredo Norfini,Brazil,,,Florence,,Rio de Janeiro,male
Alfredo Volpi,Brazil,,,Lucca,,São Paulo,male
Aligi Sassu,Italy,,,Milan,,Pollença,male
,Kingdom of Italy,,,,,,
Alípio Dutra,Brazil,,,Jaú,,São Paulo,male
Aloísio Lucas de Siqueira,,,,,,,
Aloísio Sergio Magalhães,Brazil,,,Recife,,Padua,male
Alonso Pérez,Spain,,,Zaragoza,,,male
Alzira Fragoso,,,,,,,
Amador de Carvalho Perez,,,,,,,male
Amália Pasqualina Fernandes Filha,,,,,,,
Amedeo Modigliani,Kingdom of Italy,Accademia delle Arti del Disegno,Jewish people,Livorno,Père Lachaise Cemetery,Hôpital de la Charité,male
,,"Academy of Fine Arts, Florence",,,Grave of Amedeo Modigliani and Jeanne Hébuterne,,
,,Accademia di Belle Arti di Venezia,,,,,
Amelia Toledo,Brazil,University of Brasília,,São Paulo,,Cotia,female
,,Federal University of Rio Grande do Sul,,,,,
,,Pontifícia Universidade Católica do Rio Grande do Sul,,,,,
,,Central School of Art and Design,,,,,
Américo Spósito,Uruguay,,,Montevideo,,,male
Amílcar de Castro,Brazil,Federal University of Minas Gerais,,Paraisópolis,,Belo Horizonte,male
Ana Teixeira,,,,,,,
Anatol Władysław,Brazil,,,Warsaw,,São Paulo,male
André Figurey,France,,,Lyon,,Barbacena,male
André Lhote,France,école des beaux-arts de Bordeaux,,Bordeaux,Montparnasse Cemetery,Paris,male
أندريه ماسون,France,Beaux-Arts de Paris,,Balagny-sur-Thérain,,4th arrondissement of Paris,male
André-Charles Voillemot,France,,,Paris,,Paris,male
,,,,,,9th arrondissement of Paris,
Andrea Mantegna,Republic of Venice,,Italians,Isola Mantegna,Basilica of Sant'Andrea,Mantua,male
Angelina Agostini,Brazil,Escola Nacional de Belas Artes,,Rio de Janeiro,,Rio de Janeiro,female
Angelo Agostini,Brazil,,,Vercelli,,Rio de Janeiro,male
,Kingdom of Italy,,,,,,
Angelo da Silva Romão,,,,,,,male
Angelo Dall'Oca Bianca,Kingdom of Italy,,,Verona,Verona,Verona,male
Anita Malfatti,Brazil,Mackenzie Presbyterian University,,São Paulo,,São Paulo,female
Anna Barros,,,,,,,
Anna Salvatore,Italy,,,Rome,,Rome,female
,Kingdom of Italy,,,,,,
Anne Ethuin,France,,,,Père Lachaise Cemetery,,female
,,,,,Grave of Jaguer,,
