creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Victor Meirelles de Lima,Rio de Janeiro; Itália; França,Academia Imperial de Belas Artes,c. 1847–1852; 1853–1861; 1853–1861,Museu Victor Meirelles; Wikipédia,Wikipédia; Museu Victor Meirelles,Museu Victor Meirelles,,media
,,,,,,,,
Diego de los Campos Orefice,"Montevidéu, Uruguai","Instituto Nacional de Bellas Artes, Universidad de la República",1997,MASC; Escavador,MASC,Escavador,,alta
[Jordão de Oliveira],Rio de Janeiro,Escola Nacional de Belas Artes,,Guia das Artes,Guia das Artes,,"instituição identificada, datas não localizadas; nome no CSV entre colchetes",media
Edouard Vienot | Morisset,"Paris, França",École des Beaux-Arts,desde 1822,Wikipedia; Itaú Cultural,Wikipedia,Wikipedia,registro possivelmente composto com outro nome ('Morisset'); preencher com cautela,baixa
Ayanna Duran,"Jataí, GO",Universidade Federal de Goiás - Regional Jataí,,Escavador,Escavador,,"fonte sugere vínculo com contexto indígena, mas sem base suficiente para preencher",media
Julius Leblanc Stewart,"Paris, França",École des Beaux-Arts,,Wikipedia; Google Arts & Culture,Wikipedia,,também estudou com Eduardo Zamacois e Jean-Léon Gérôme,media
"C. Linde, c.i.d.",,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Mariana Silva da Silva,"Porto Alegre, RS; Amiens, França","Instituto de Artes da UFRGS; Faculté des Arts, Université de Picardie Jules Verne",,MACRS; Escavador,MACRS; Escavador,,"bacharel, mestre e doutora em Artes Visuais pela UFRGS; estágio na Université de Picardie Jules Verne; datas não localizadas com segurança",media
Heitor,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Belmiro Barbosa de Almeida Junior,"Rio de Janeiro; Paris, França",Liceu de Artes e Ofícios do Rio de Janeiro; Academia Imperial de Belas Artes,,Wikipédia,Wikipédia,,na França frequentou o ateliê de Jules Joseph Lefebvre; datas não localizadas com segurança,media
César Rossi,São Paulo; Bolonha,E.S.E.F. de São Paulo; Escola Circo Picadeiro; grupo Acrobático Fratelli; escola de teatro de Bolonha ('Noveau Cirque'),dos 10 anos em diante; 1998,https://cesarrossi.blogspot.com/p/curriculo.html | https://www.ciatempo.com/p/historia.html,https://cesarrossi.blogspot.com/p/curriculo.html | https://www.ciatempo.com/p/historia.html,https://cesarrossi.blogspot.com/p/curriculo.html,A grafia 'Noveau Cirque' foi preservada como aparece na fonte aberta consultada.,alta
M.D.,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Antônio Diogo da Silva Parreiras,"Rio de Janeiro; Veneza, Itália",Academia Imperial de Belas Artes; Accademia di Belle Arti di Venezia,,Wikipédia; InfoEscola,InfoEscola,,abandonou a Academia Imperial e prosseguiu estudos com Georg Grimm; datas não localizadas com segurança,media
Gilda Vogt Maia Rosa,Rio de Janeiro; São Paulo,Museu de Arte Moderna do Rio de Janeiro (MAM/RJ); Escola Brasil:,1968; 1970–1973,Itaú Cultural; Wikipédia,Itaú Cultural,Itaú Cultural; Wikipédia,"também estudou com Misabel Pedrosa, Ivan Serpa, Anna Bella Geiger e Frederico Nasser",alta
Luiz Rodolfo Annes,"Curitiba, PR",Escola de Música e Belas Artes do Paraná (EMBAP); Universidade Estadual do Paraná (Unespar),,Escavador; Humana Sebo; Revista Valise,Escavador; Humana Sebo; Revista Valise,,bacharel em Pintura pela EMBAP e mestre em Cinema e Artes do Vídeo pela Unespar; datas de início e conclusão não localizadas com segurança,media
Flávia Metzler,Rio de Janeiro,Universidade Federal do Rio de Janeiro (Geologia; Pintura),1997; 2004–2007,Escavador; site da artista,Escavador; site da artista,Escavador; site da artista,"retomou a UFRJ em 2004 para cursar Pintura; fontes biográficas também mencionam passagem inconclusa pelo curso, mas o Lattes/Escavador registra graduação em Pintura em 2007",media
Décio Villares,Rio de Janeiro; França e Itália,Academia Imperial de Belas Artes,até 1872; 1872–1881,Itaú Cultural; Arqnet,Itaú Cultural,Itaú Cultural; Arqnet,"fontes citam estudos com Paul Cabanel e Pedro Américo na Europa, sem instituição única claramente nomeada",media
Erica Kaminishi,"Curitiba, PR; Tóquio, Japão",Faculdade de Artes do Paraná; Nihon University,,site da artista; Olhar InComum,site da artista; Olhar InComum,,"bacharela em Artes Plásticas e mestre em Artes Visuais; fontes também citam estudos de cerâmica e programa de doutorado no Japão, sem grau confirmado",media
