artist_input,wikidata_uri,label,country,country_lat,country_lon,birth,birth_place,birth_lat,birth_lon,death,death_place
3NÓS3,,,,,,,,,,,
Abelardo Zaluar,,,,,,,,,,,
Abelardo da Hora,http://www.wikidata.org/entity/Q16141975,Abelardo da Hora,Brasil,-14.0,-53.0,1924-07-31T00:00:00Z,São Lourenço da Mata,-8.001945,-35.017776,2014-09-23T00:00:00Z,
Abraham Naton,,,,,,,,,,,
Abraham Palatnik,http://www.wikidata.org/entity/Q4669126,Abraham Palatnik,Brasil,-14.0,-53.0,1928-02-19T00:00:00Z,Natal,-5.795,-35.20889,2020-05-09T00:00:00Z,Rio de Janeiro
Achille Funi,http://www.wikidata.org/entity/Q333073,Achille Funi,Reino da Itália,41.9,12.5,1890-02-26T00:00:00Z,Ferrara,44.83917,11.6175,1972-07-26T00:00:00Z,Appiano Gentile
Ademar Manarini,http://www.wikidata.org/entity/Q9582674,Ademar Manarini,Brasil,-14.0,-53.0,1920-04-05T00:00:00Z,Campinas,-22.900913,-47.057293,1989-04-12T00:00:00Z,São Paulo
Ademar Shimabukuro,,,,,,,,,,,
Adir Botelho,http://www.wikidata.org/entity/Q9583114,Adir Botelho,Brasil,-14.0,-53.0,1932-03-03T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,,
Adir Sodré de Souza,,,,,,,,,,,
Adja Yunkers,http://www.wikidata.org/entity/Q4683136,Adja Yunkers,Suécia,61.0,15.0,1900-07-15T00:00:00Z,Riga,56.9475,24.106945,1983-01-01T00:00:00Z,Nova Iorque
Adolfo Mexiac,http://www.wikidata.org/entity/Q365111,Adolfo Mexiac,México,23.0,-102.0,1927-08-07T00:00:00Z,Cuto de la Esperanza,19.73083,-101.34028,2019-10-13T00:00:00Z,Cuernavaca
Adolpho Hollanda,,,,,,,,,,,
"Adriano Spatola , Giulia Niccolai",,,,,,,,,,,
Afro Basaldella,http://www.wikidata.org/entity/Q388090,Afro Basaldella,Reino da Itália,41.9,12.5,1912-03-04T00:00:00Z,Udine,46.066666,13.233334,1976-07-24T00:00:00Z,Zurique
Agenore Fabbri,http://www.wikidata.org/entity/Q3606408,Agenore Fabbri,Reino da Itália,41.9,12.5,1911-05-20T00:00:00Z,Pistoia,43.933334,10.916667,1998-11-07T00:00:00Z,Savona
Aharon Kahana,http://www.wikidata.org/entity/Q12403496,Aharon Kahana,Israel,31.0,35.0,1905-03-01T00:00:00Z,Estugarda,48.7775,9.18,1967-07-03T00:00:00Z,Paris
Ahmes de Paula Machado,,,,,,,,,,,
Ahron Giladi,,,,,,,,,,,
Aieto Manetti Neto,,,,,,,,,,,
Ailema Bianchetti,,,,,,,,,,,
Aimée,,,,,,,,,,,
Aki Kuroda,http://www.wikidata.org/entity/Q1091015,Aki Kuroda,Japão,35.0,136.0,1944-10-04T00:00:00Z,Quioto,35.011612,135.76811,,
Alain Snyers,http://www.wikidata.org/entity/Q33814149,Alain Snyers,República Democrática do Congo,-2.88,23.65611,1951-01-01T00:00:00Z,Zaire,-4.4,15.4,,
Alan Davie,http://www.wikidata.org/entity/Q44033,Alan Davie,Reino Unido da Grã-Bretanha e Irlanda,51.50722,-0.1275,1920-09-28T00:00:00Z,Grangemouth,56.0119,-3.71639,2014-04-05T00:00:00Z,Hertford
Alastair Michie,,,,,,,,,,,
Albano Afonso,,,,,,,,,,,
Albert Gleizes,http://www.wikidata.org/entity/Q711903,Albert Gleizes,França,47.0,2.0,1881-12-08T00:00:00Z,Paris,48.856667,2.3522222,1953-06-23T00:00:00Z,Saint-Rémy-de-Provence
"Albert Hien , Leonilson",,,,,,,,,,,
Alberto Bitar,,,,,,,,,,,
